dTAlk_dK0,dTCO2_dK0,dHin_dK0,dpCO2in_dK0,dfCO2in_dK0,dHCO3in_dK0,dCO3in_dK0,dCO2in_dK0,dRFin_dK0,dOmegaCAin_dK0,dOmegaARin_dK0,dxCO2in_dK0,dHout_dK0,dpCO2out_dK0,dfCO2out_dK0,dHCO3out_dK0,dCO3out_dK0,dCO2out_dK0,dRFout_dK0,dOmegaCAout_dK0,dOmegaARout_dK0,dxCO2out_dK0
87460.6686864367,78400.2893435292,0,0,0,68529.9100006171,9465.37934290979,404.999999999976,66.4834610012498,230.935314454401,151.207532154794,0,-6.01277001617142,2038.81016412812,2031.16074583759,68792.5104431348,9291.95978788337,315.819112516285,68.6091949258472,167.522047843793,108.656838295855,2066.87898711313
86102.0124452673,77182.3814081592,0,0,0,67465.3333020086,9318.33957163268,398.708534522572,67.0459456782816,227.34785381633,148.858601368393,0,-6.06527416095492,2006.04000434163,1998.51353651702,67725.6839459299,9145.70773588587,310.989726334581,69.1925390869015,164.885312019368,106.946619361738,2033.65767212246
-9124.76754493742,0,265.551601362154,0,0,6054.11168097322,-6459.11168097889,404.999999999976,122.543432789978,-157.588717060789,-103.183010612733,0,199.249669609465,2517.28705032113,2507.84243309083,6012.64366162013,-6349.55941021118,336.915748596505,130.41635570585,-114.474364890322,-74.2494657569396,2551.94318744438
-9196.78687676771,0,261.465400265451,0,0,6122.50953200627,-6521.21806652751,398.708534522572,120.851240377352,-159.10398202343,-104.175147636472,0,196.061801494595,2475.27132132361,2465.98434303949,6080.83964858545,-6412.3128036571,331.473155077761,128.439011028286,-115.605727618856,-74.9832813867691,2509.34901711897
0,0,0,-12577.1429556811,-12536.5355908509,0,0,0,1.66272224746803e-07,0,0,-12951.4990943403,0,-5104.41209372663,-5085.2608338788,0,0,0,-1.22829850865588e-07,0,0,-5174.68584555512
0,6847.9990318605,254.605985998821,0,0,10919.6061588832,-4476.60712688581,404.999999999976,122.309647447703,-109.219782650386,-71.5128989087994,0,191.21251922333,2484.59234511955,2475.27039525738,10903.1908276319,-4391.70778964632,336.515993866716,130.463537069685,-79.1768259062431,-51.355052543866,2518.79836584207
0,6876.45954924592,250.913017981237,0,0,10977.168026774,-4499.41701191475,398.708534522572,120.832297833348,-109.776295789605,-71.8772822366111,0,188.331246814643,2443.149036358,2433.98257777644,10960.2544335149,-4414.89626299998,331.101378724973,128.712872428667,-79.5948841664229,-51.6262102174944,2476.78449640845
0,0,0,-11545.3567864764,-11508.0807121899,0,0,0,6.56729572684151e-08,0,0,-11889.0020166572,0,-4700.33053732689,-4682.69535234606,0,0,0,8.74333285510682e-08,0,0,-4765.04119462195
0,0,0,-29251.9130439961,-29157.4684543819,0,0,0,-1.0537975720795e-07,0,0,-30122.590371439,0,-12218.8060766955,-12172.9622996056,0,0,0,1.30745087958798e-07,0,0,-12387.025517074
87460.6686864367,78400.2893435292,0,0,0,68529.9100006171,9465.37934290979,404.999999999976,66.4834610012498,230.935314454401,151.207532154794,0,-6.01277001617142,2038.81016412812,2031.16074583759,68792.5104431348,9291.95978788337,315.819112516285,68.6091949258472,167.522047843793,108.656838295855,2066.87898711313
86102.0124452673,77182.3814081592,0,0,0,67465.3333020086,9318.33957163268,398.708534522572,67.0459456782816,227.34785381633,148.858601368393,0,-6.06527416095492,2006.04000434163,1998.51353651702,67725.6839459299,9145.70773588587,310.989726334581,69.1925390869015,164.885312019368,106.946619361738,2033.65767212246
-9124.76754493742,0,265.551601362154,0,0,6054.11168097322,-6459.11168097889,404.999999999976,122.543432789978,-157.588717060789,-103.183010612733,0,199.249669609465,2517.28705032113,2507.84243309083,6012.64366162013,-6349.55941021118,336.915748596505,130.41635570585,-114.474364890322,-74.2494657569396,2551.94318744438
-9196.78687676771,0,261.465400265451,0,0,6122.50953200627,-6521.21806652751,398.708534522572,120.851240377352,-159.10398202343,-104.175147636472,0,196.061801494595,2475.27132132361,2465.98434303949,6080.83964858545,-6412.3128036571,331.473155077761,128.439011028286,-115.605727618856,-74.9832813867691,2509.34901711897
0,0,0,-12577.1429556811,-12536.5355908509,0,0,0,1.66272224746803e-07,0,0,-12951.4990943403,0,-5104.41209372663,-5085.2608338788,0,0,0,-1.22829850865588e-07,0,0,-5174.68584555512
0,6847.9990318605,254.605985998821,0,0,10919.6061588832,-4476.60712688581,404.999999999976,122.309647447703,-109.219782650386,-71.5128989087994,0,191.21251922333,2484.59234511955,2475.27039525738,10903.1908276319,-4391.70778964632,336.515993866716,130.463537069685,-79.1768259062431,-51.355052543866,2518.79836584207
0,6876.45954924592,250.913017981237,0,0,10977.168026774,-4499.41701191475,398.708534522572,120.832297833348,-109.776295789605,-71.8772822366111,0,188.331246814643,2443.149036358,2433.98257777644,10960.2544335149,-4414.89626299998,331.101378724973,128.712872428667,-79.5948841664229,-51.6262102174944,2476.78449640845
0,0,0,-11545.3567864764,-11508.0807121899,0,0,0,6.56729572684151e-08,0,0,-11889.0020166572,0,-4700.33053732689,-4682.69535234606,0,0,0,8.74333285510682e-08,0,0,-4765.04119462195
0,0,0,-29251.9130439961,-29157.4684543819,0,0,0,-1.0537975720795e-07,0,0,-30122.590371439,0,-12218.8060766955,-12172.9622996056,0,0,0,1.30745087958798e-07,0,0,-12387.025517074
89805.2687850783,80324.7650361928,0,0,0,70034.2612872927,9885.50374889531,404.999999999976,64.8838427351423,241.185464848931,157.918935081769,0,-5.89101940685164,2039.47977383019,2031.82784322899,70297.1070066282,9712.13127946288,315.526750088972,66.8483842460223,175.097197792975,113.570172711774,2067.55781550365
88410.1903943233,79076.9613665348,0,0,0,68946.3152696904,9731.93756231982,398.708534522572,65.4422723302046,237.438773427334,155.465746123025,0,-5.94337758896835,2006.67425205502,1999.14540459394,69206.9192510671,9559.34298653544,310.699128927006,67.4275214251504,172.342621976694,111.783521325309,2034.30065168717
-9124.76754495749,0,271.380923087819,0,0,6054.11168098994,-6459.11168099101,404.999999999976,122.543439810663,-157.58871706109,-103.183010612922,0,202.845611482845,2517.28705041935,2507.84243318863,6012.64366167363,-6349.55941026969,336.915748601311,130.416369732564,-114.47436489138,-74.2494657576188,2551.94318754427
-9196.7868767744,0,267.205022735512,0,0,6122.50953200627,-6521.21806652751,398.708534522572,120.851233653711,-159.10398202343,-104.175147636472,0,199.600210582368,2475.27132140511,2465.98434312099,6080.83964862223,-6412.31280370475,331.47315508181,128.439017784816,-115.605727619731,-74.9832813873242,2509.34901720131
0,0,0,-12275.8111573183,-12236.1766915254,0,0,0,-1.1285090509131e-08,0,0,-12641.1982154095,0,-4979.31292512778,-4960.63102524607,0,0,0,-6.87032130532744e-09,0,0,-5047.86440458397
0,6847.99903188725,260.195032338781,0,0,10919.6061589166,-4476.60712689417,404.999999999976,122.309640474066,-109.219782650608,-71.51289890893,0,194.663411293418,2484.59234525372,2475.27039539113,10903.1908277322,-4391.70778971738,336.515993873142,130.463530526083,-79.1768259075362,-51.3550525447019,2518.79836597875
0,6876.45954924592,256.420997218859,0,0,10977.1680267774,-4499.41701191392,398.708534522572,120.832318217827,-109.776295789578,-71.8772822365981,0,191.730139358816,2443.14903644117,2433.98257785919,10960.254433555,-4414.89626304303,331.101378729205,128.712872594155,-79.5948841672066,-51.6262102179973,2476.78449649288
0,0,0,-11235.1002555279,-11198.8258952376,0,0,0,-9.39118064359397e-08,0,0,-11569.5107622638,0,-4571.9545100503,-4554.8009794926,0,0,0,-6.15716628009763e-08,0,0,-4634.89778161792
0,0,0,-29251.9130443873,-29157.4684547714,0,0,0,-1.37876638211096e-07,0,0,-30122.5903718419,0,-12218.8060764848,-12172.9622993958,0,0,0,7.06101843661599e-08,0,0,-12387.0255168633
89805.2687850783,80324.7650361928,0,0,0,70034.2612872927,9885.50374889531,404.999999999976,64.8838427351423,241.185464848931,157.918935081769,0,-5.89101940685164,2039.47977383019,2031.82784322899,70297.1070066282,9712.13127946288,315.526750088972,66.8483842460223,175.097197792975,113.570172711774,2067.55781550365
