dTAlk_dKW,dTCO2_dKW,dHin_dKW,dpCO2in_dKW,dfCO2in_dKW,dHCO3in_dKW,dCO3in_dKW,dCO2in_dKW,dRFin_dKW,dOmegaCAin_dKW,dOmegaARin_dKW,dxCO2in_dKW,dHout_dKW,dpCO2out_dKW,dfCO2out_dKW,dHCO3out_dKW,dCO3out_dKW,dCO2out_dKW,dRFout_dKW,dOmegaCAout_dKW,dOmegaARout_dKW,dxCO2out_dKW
125892541179427,0,0,0,0,0,0,0,-3183852261819.81,0,0,0,837495708433.662,37512528776784.7,37371785401680.9,32819847485713.6,-34373323324260,1553475837701.89,-4029357812085.17,-619706676080.558,-401949289426.266,38028973391624.6
125892541179427,0,0,0,0,0,0,0,-3210791898527.02,0,0,0,846601573872.385,37331584242092.1,37191519753065,32632117383445.1,-34178099912382.9,1545982528879.63,-4062817937480.53,-616187049814.349,-399666417006.931,37845537746983.5
115710801891823,0,0,0,0,0,0,0,-3372751526836.78,0,0,0,938034696664.903,38301382303052.8,38157679226015.5,28306511627515.2,-29892655613942.4,1586143987053.3,-4242447388524.61,-538926017575.753,-349553971542.262,38828687266811.6
117358801393583,0,0,0,0,0,0,0,-3367426520448.31,0,0,0,930238201885.436,37977064082627.7,37834577816082.6,28851229714865.6,-30423942976840.3,1572713260431.37,-4238961154126.9,-548504443336.861,-355766655024.681,38499904074344.2
125892541179427,0,0,0,0,0,0,0,-3344082149785.91,0,0,0,892722748540.493,36411696679830.7,36275083520284.5,31681879305756.8,-33189767280327.6,1507887973624.37,-4227989836006.96,-598368687465.909,-388109210412.644,36912985856323.8
0,-88871083884904,377493264130.309,0,0,-71726769127307,-17144314731038.9,0,-3444325226488.71,-418285160067.898,-273876981265.018,0,1310487858026.56,39482604287948.1,39334469380445.4,-46760527160601.1,-43745617698290.8,1635060972197.07,-4325112512465.57,-788677052882.083,-511545531504.248,40026171438175.1
0,-89846160324400.4,376954209384.113,0,0,-72334524277527.5,-17511636021246.7,0,-3442048895510.72,-427247025685.447,-279744865035.886,0,1303344364266.47,39160641789493.9,39013714854030.6,-46939722115432,-44528166009032.5,1621727801170.8,-4324576456442.68,-802785389392.067,-520696370203.06,39699776399411.6
0,-112850859739142,0,-19881852235961.5,-19817660421401.8,-98643248973486,-13624646101805.8,-582964662233.855,-3612980156612.35,-332412660690.656,-217650982479.204,-20473631581051.5,956005379552.039,24357474762511.1,24266087876168.6,-68441560326063.5,-45417995703026.6,1008696287487.57,-4534496979869.4,-818827870848.257,-531101718847.706,24692810371351.2
0,0,5286471541701.47,273994157835279,273109522845143,27702051015619.9,-35735955995526.2,8033904979236.54,-1980698911144.59,-871882038341.011,-570874712942.616,282149539013524,5571284925260.28,226939148907153,226087695198594,37199081319039.4,-46597127676202.7,9398046358211.61,-2735634530153.9,-840086099180.739,-544890064371.341,230063478436030
125892541179427,0,0,0,0,0,0,0,-3183852261819.81,0,0,0,837495708433.662,37512528776784.7,37371785401680.9,32819847485713.6,-34373323324260,1553475837701.89,-4029357812085.17,-619706676080.558,-401949289426.266,38028973391624.6
125892541179427,0,0,0,0,0,0,0,-3210791898527.02,0,0,0,846601573872.385,37331584242092.1,37191519753065,32632117383445.1,-34178099912382.9,1545982528879.63,-4062817937480.53,-616187049814.349,-399666417006.931,37845537746983.5
115710801891823,0,0,0,0,0,0,0,-3372751526836.78,0,0,0,938034696664.903,38301382303052.8,38157679226015.5,28306511627515.2,-29892655613942.4,1586143987053.3,-4242447388524.61,-538926017575.753,-349553971542.262,38828687266811.6
117358801393583,0,0,0,0,0,0,0,-3367426520448.31,0,0,0,930238201885.436,37977064082627.7,37834577816082.6,28851229714865.6,-30423942976840.3,1572713260431.37,-4238961154126.9,-548504443336.861,-355766655024.681,38499904074344.2
125892541179427,0,0,0,0,0,0,0,-3344082149785.91,0,0,0,892722748540.493,36411696679830.7,36275083520284.5,31681879305756.8,-33189767280327.6,1507887973624.37,-4227989836006.96,-598368687465.909,-388109210412.644,36912985856323.8
